Shop_ID,Shopname,Tag,Googlemap_link,District,State,State_code,Latitude,Longitude,Instagram_link,Facebook_link,Twitter_link,Tiktok_link,Whatsapp_link,Date Collected,Time Collected
callibrate,Callibrate,Early Bird,"https://www.google.com/maps/search/?api=1&query=3.1264965,101.6256189&query_place_id=ChIJHSerE6NHzDERi-a7rJz4D0o",Petaling Jaya,Selangor,10,3.1264965,101.6256189,https://www.instagram.com/calibrate.ss,,,,https://wa.me/60173708325,20-03-2024,03:36:07
the-sauh-cafe,The Sauh Cafe,Muslim Owner,"https://www.google.com/maps/search/?api=1&query=4.8843317,100.7389471&query_place_id=ChIJXdNTSOKvyjERoEE4wh2xk9E",Kamunting,Perak,8,4.8843317,100.7389471,https://www.instagram.com/thesauhcafe,https://www.facebook.com/thesauhcafe,,https://www.tiktok.com/@thesauhcafe,https://wa.me/60108154585,20-03-2024,03:36:07
what-the-puck,What the Puck,Early Bird,"https://www.google.com/maps/search/?api=1&query=3.117054,101.6136429&query_place_id=ChIJdZ5PJARPzDERr9rR5uj1Ldk",Petaling Jaya,Selangor,10,3.117054,101.6136429,https://www.instagram.com/whatthepuck.coffee,,,,https://wa.me/601116170771,20-03-2024,03:36:07
empayar-kopi,Empayar Kopi,"Muslim Owner,  Night Owl,  Stall","https://www.google.com/maps/search/?api=1&query=3.251946,101.3680887&query_place_id=ChIJH8nF4ftZzDER4NSSZ-AZgGM",Jeram,Selangor,10,3.251946,101.3680887,https://www.instagram.com/empayarkopi_,,,,https://wa.me/60192151706,20-03-2024,03:36:07
ulu-s-coffee,Ulu's Coffee,"Muslim Owner,  Night Owl","https://www.google.com/maps/search/?api=1&query=4.642598200000001,101.158069&query_place_id=ChIJLe1jNACTyjERWYXPRv-zpj4",Ulu Kinta,Perak,8,4.642598200000001,101.158069,https://www.instagram.com/3ulu.s,,,,https://wa.me/60125342469,20-03-2024,03:36:07
sechaone-coffee,Sechaone Coffee,"Muslim Owner,  Night Owl,  Home","https://www.google.com/maps/search/?api=1&query=6.438322299999999,100.1780891&query_place_id=ChIJF-bQNciZTDARUErnknBfhL8",Kangar,Perlis,9,6.438322299999999,100.1780891,https://www.instagram.com/sechaone.coffee,,,https://www.tiktok.com/@sechaone,https://wa.me/601156922537,20-03-2024,03:36:07
kusamu,Kusamu,Muslim Friendly,"https://www.google.com/maps/search/?api=1&query=4.6003237,101.1151723&query_place_id=ChIJWW5gGwDtyjERtYoWjSyvKhk",Ipoh,Perak,8,4.6003237,101.1151723,https://www.instagram.com/kusamu_,,,,https://wa.me/601118535354,20-03-2024,03:36:07
markass-kopi,Markass Kopi,"Night Owl,  Stall","https://www.google.com/maps/search/?api=1&query=3.2034399,101.4361357&query_place_id=ChIJ_z5ox7ZbzDERa1FImg34vvo",Kuala Selangor,Selangor,10,3.2034399,101.4361357,https://www.instagram.com/markass.kopi,,,https://www.tiktok.com/@markass.kopi,https://wa.me/60136869591,20-03-2024,03:36:07
sekopi-dua,Sekopi Dua,"Muslim Owner,  Stall","https://www.google.com/maps/search/?api=1&query=3.2114877,101.4365134&query_place_id=ChIJh9_ShZFbzDERPnNdodtTLRM",Klang,Selangor,10,3.2114877,101.4365134,https://www.instagram.com/sekopidua,,,,https://wa.me/60146639497,20-03-2024,03:36:07
kopi-totoq,Kopi Totoq,"Muslim Owner,  Night Owl","https://www.google.com/maps/search/?api=1&query=3.1478557,101.4304556&query_place_id=ChIJmdX_GF5XzDERNUFii-TCox4",Klang,Selangor,10,3.1478557,101.4304556,https://www.instagram.com/kopitotoq,,,,,20-03-2024,03:36:07
